issue_a,issue_b,doc_count
fraud_perjury,recusal,149
mandamus,sanctions_contempt,148
recusal,removal_remand,148
ex_parte,injunction,147
injunction,sanctions_contempt,146
removal_remand,sanctions_contempt,145
ex_parte,sanctions_contempt,144
jurisdiction,rico,144
child_support_oag,recusal,140
discovery,sanctions_contempt,136
appeal,civil_rights_1983,128
civil_rights_1983,federal_court,128
discovery,recusal,128
injunction,recusal,125
child_support_oag,sanctions_contempt,124
law_enforcement,rico,123
protective_order,recusal,122
custody,rico,119
ex_parte,recusal,117
civil_rights_1983,property_financial,114
child_support_oag,ex_parte,112
discovery,ex_parte,112
notice,rico,112
recusal,sanctions_contempt,109
lockout_eviction,rico,104
civil_rights_1983,fraud_perjury,103
civil_rights_1983,jurisdiction,102
discovery,rico,95
hearing,rico,93
removal_remand,rico,91
civil_rights_1983,hearing,85
civil_rights_1983,notice,84
protective_order,rico,81
civil_rights_1983,custody,79
civil_rights_1983,law_enforcement,74
injunction,rico,74
civil_rights_1983,lockout_eviction,63
civil_rights_1983,injunction,62
civil_rights_1983,removal_remand,59
civil_rights_1983,rico,58
civil_rights_1983,due_process,57
associate_judge,rico,56
due_process,rico,56
civil_rights_1983,mandamus,53
civil_rights_1983,protective_order,52
mandamus,rico,52
civil_rights_1983,temporary_orders,50
recusal,rico,49
associate_judge,civil_rights_1983,48
civil_rights_1983,discovery,48
civil_rights_1983,ex_parte,44
civil_rights_1983,sanctions_contempt,44
rico,temporary_orders,41
child_support_oag,rico,39
civil_rights_1983,recusal,38
child_support_oag,civil_rights_1983,37
rico,sanctions_contempt,35
ex_parte,rico,22
