corpus,source_pdf,source_txt,source_exists,date,year,month,day,case_numbers,doc_tags,pages,text_chars,ocr_chars,word_count,status
case,CASE DOCS\02.09.2024_MTN FOR RECONSIDERATION  TO VACATETEMPORARY ORDS-1.pdf,extracted_text\02.09.2024_MTN FOR RECONSIDERATION  TO VACATETEMPORARY ORDS-1.txt,yes,2024-02-09,2024,02,09,,,14,27224,21626,7370,ok
case,CASE DOCS\02.09.24 -  Exhibit A.5 EVICTION NOTICE-1.pdf,extracted_text\02.09.24 -  Exhibit A.5 EVICTION NOTICE-1.txt,yes,2024-02-09,2024,02,09,,notice;exhibit,4,114,3664,655,ok
case,CASE DOCS\02.09.24 - EMERGENCY MOTION - EXHIBIT A.3-1.pdf,extracted_text\02.09.24 - EMERGENCY MOTION - EXHIBIT A.3-1.txt,yes,2024-02-09,2024,02,09,,motion;emergency;exhibit,2,26,1731,325,ok
case,CASE DOCS\02.09.24 - EMERGENCY MOTION TO RECONSIDER EVIDENCE AND VACATE TEMPORARY ORDERS-1.pdf,extracted_text\02.09.24 - EMERGENCY MOTION TO RECONSIDER EVIDENCE AND VACATE TEMPORARY ORDERS-1.txt,yes,2024-02-09,2024,02,09,,motion;order;emergency,13,26540,17593,6472,ok
case,CASE DOCS\02.09.24 - EMERGENCY MOTION TO RECONSIDER-1.pdf,extracted_text\02.09.24 - EMERGENCY MOTION TO RECONSIDER-1.txt,yes,2024-02-09,2024,02,09,,motion;emergency,13,26540,20738,6989,ok
case,CASE DOCS\02.09.24 - EMERGENCY MOTION TO VACATE.pdf,extracted_text\02.09.24 - EMERGENCY MOTION TO VACATE.txt,yes,2024-02-09,2024,02,09,,motion;emergency,4,3793,3072,1098,ok
case,CASE DOCS\02.09.24 - EMERGENCY MOTION.pdf,extracted_text\02.09.24 - EMERGENCY MOTION.txt,yes,2024-02-09,2024,02,09,,motion;emergency,13,26540,20738,6989,ok
case,CASE DOCS\02.09.24 - Exhibit A.2 Text to Papaw-1.pdf,extracted_text\02.09.24 - Exhibit A.2 Text to Papaw-1.txt,yes,2024-02-09,2024,02,09,,exhibit,6,618,4665,1077,ok
case,CASE DOCS\02.09.24 - Exhibit A.3 Financial Transaction-1.pdf,extracted_text\02.09.24 - Exhibit A.3 Financial Transaction-1.txt,yes,2024-02-09,2024,02,09,,exhibit,3,2134,2013,767,ok
case,CASE DOCS\02.09.24 - Exhibit A.4 BANK OVERDRAFT AND BUSINESS ADS-1.pdf,extracted_text\02.09.24 - Exhibit A.4 BANK OVERDRAFT AND BUSINESS ADS-1.txt,yes,2024-02-09,2024,02,09,,exhibit,7,180,3558,705,ok
case,CASE DOCS\02.09.24 - Exhibit A.4 Overdrawn Account-1.pdf,extracted_text\02.09.24 - Exhibit A.4 Overdrawn Account-1.txt,yes,2024-02-09,2024,02,09,,exhibit,8,1631,3744,1034,ok
case,CASE DOCS\02.09.24 - Exhibit B.1 ORIGINAL PETITION FOR DIVORCE-1.pdf,extracted_text\02.09.24 - Exhibit B.1 ORIGINAL PETITION FOR DIVORCE-1.txt,yes,2024-02-09,2024,02,09,,petition;exhibit,13,312,22414,3956,ok
case,CASE DOCS\02.09.24 - Exhibit B.2 Dismissed Eviction-1.pdf,extracted_text\02.09.24 - Exhibit B.2 Dismissed Eviction-1.txt,yes,2024-02-09,2024,02,09,,exhibit,2,1332,1245,434,ok
case,CASE DOCS\02.09.24 - Exhibit C.1 DEFENDANT'S ORIGINAL ANSWER-1.pdf,extracted_text\02.09.24 - Exhibit C.1 DEFENDANT'S ORIGINAL ANSWER-1.txt,yes,2024-02-09,2024,02,09,,exhibit,18,3206,22367,4255,ok
case,CASE DOCS\02.09.24 - EXHIBIT D - PROPOSED PARENTING PLAN-1.pdf,extracted_text\02.09.24 - EXHIBIT D - PROPOSED PARENTING PLAN-1.txt,yes,2024-02-09,2024,02,09,,exhibit,4,136,3543,549,ok
case,CASE DOCS\02.09.25 - Exhibit A.1 TEXTS AND VIZUALIZATIONS-1.pdf,extracted_text\02.09.25 - Exhibit A.1 TEXTS AND VIZUALIZATIONS-1.txt,yes,2025-02-09,2025,02,09,,exhibit,458,1058307,1066958,434944,ok
case,CASE DOCS\02.09.25 - Exhibit A.2 TEXT TO PAPAW-1.pdf,extracted_text\02.09.25 - Exhibit A.2 TEXT TO PAPAW-1.txt,yes,2025-02-09,2025,02,09,,exhibit,5,136,4465,920,ok
case,CASE DOCS\02.09.25 - Exhibit A.3 FINANCIAL TRANSACTIONS-1.pdf,extracted_text\02.09.25 - Exhibit A.3 FINANCIAL TRANSACTIONS-1.txt,yes,2025-02-09,2025,02,09,,exhibit,2,70,1777,341,ok
case,CASE DOCS\02.09.25 - Exhibit B.2 EVICTION DISMISSAL-1.pdf,extracted_text\02.09.25 - Exhibit B.2 EVICTION DISMISSAL-1.txt,yes,2025-02-09,2025,02,09,,exhibit,2,1049,1190,379,ok
case,CASE DOCS\02.09.25 - Exhibit B.3 MUNFORD ILLEGAL ORDER-1.pdf,extracted_text\02.09.25 - Exhibit B.3 MUNFORD ILLEGAL ORDER-1.txt,yes,2025-02-09,2025,02,09,,order;exhibit,2,1031,1048,364,ok
case,CASE DOCS\02.10.25 - EMERGENCY EX-PARTE ORDER-1.pdf,extracted_text\02.10.25 - EMERGENCY EX-PARTE ORDER-1.txt,yes,2025-02-10,2025,02,10,,order;emergency,109,200396,175420,60994,ok
case,CASE DOCS\02.12.24 - ORDER FOR WD OF ATTORNEY-1.pdf,extracted_text\02.12.24 - ORDER FOR WD OF ATTORNEY-1.txt,yes,2024-02-12,2024,02,12,,order,3,3423,3322,1133,ok
case,CASE DOCS\02.12.24 - Order of Withdraw (BACALIS)-1.pdf,extracted_text\02.12.24 - Order of Withdraw (BACALIS)-1.txt,yes,2024-02-12,2024,02,12,,order,19,24335,19242,6587,ok
case,CASE DOCS\02.13.24 - Correspondence Cooper Carter-1.pdf,extracted_text\02.13.24 - Correspondence Cooper Carter-1.txt,yes,2024-02-13,2024,02,13,,,3,3349,3340,1119,ok
case,CASE DOCS\02.14.24 - First COOPER COMMUNICATIONS-1.pdf,extracted_text\02.14.24 - First COOPER COMMUNICATIONS-1.txt,yes,2024-02-14,2024,02,14,,,3,0,3629,621,ok
